      nr,code   ,name                      
       9,0521110,Kristberg                 
     124,0522080,Linköping                 
     198,0523080,Norrköping                
      43,0524080,Söderköping               
      80,0525080,Motala                    
      32,0526080,Vadstena                  
      36,0527080,Skänninge                 
      53,0528080,Mjölby                    
       4,0601010,Svarttorp                 
       8,0601020,Lekeryd                   
       7,0601030,Järsnäs                   
      16,0601040,Forserum                  
       2,0601045,Forserums Me              
      13,0601050,Barkeryd                  
       3,0601070,Järstorp                  
      14,0601100,Bankeryd                  
      11,0601110,Rogberga                  
       2,0601120,Öggestorp                 
      17,0601130,Barnarp                   
      15,0601140,Månsarp                   
      11,0601150,Sandseryd                 
       9,0601160,Hakarp                    
       9,0602010,Visingsö                  
       7,0602020,Gränna Lk                 
       8,0602030,Skärstad                  
       4,0602040,Ölmestad                  
       8,0603010,Bottnaryd                 
       5,0603020,Mulseryd                  
       2,0603030,Angerdshestra             
       1,0603040,Stengårdshult             
       3,0603050,Norra Unnaryd             
       1,0603060,Valdshult                 
       2,0603070,Öreryd                    
       6,0603100,Norra Hestra              
       2,0603110,Bonstorp                  
       5,0603120,Åsenhöga                  
      15,0603130,Källeryd                  
      10,0604010,Lommaryd                  
       6,0604020,Bälaryd                   
      14,0604025,Aneby                     
       5,0604030,Frinnaryd                 
      12,0604040,Adelöv                    
       3,0604050,Vireda                    
       1,0604060,Haurida                   
       4,0604070,Askeryd                   
       5,0604100,Bredestad                 
       2,0604110,Marbäck                   
      11,0604120,Linderås                  
      15,0604130,Säby                      
      32,0605010,Ingatorp                  
       2,0605020,Bellö                     
       1,0605030,Hässleby                  
       7,0605040,Hult                      
       4,0605050,Edshult                   
       4,0605060,Höreda                    
       2,0605070,Mellby                    
      21,0605090,Mariannelund              
       8,0605110,Flisby                    
      23,0605120,Norra Solberga            
      16,0606020,Björkö                    
       3,0606030,Nävelsjö                  
      12,0606040,Karlstorp                 
       6,0606050,Kråkshult                 
      36,0606060,Alseda                    
       8,0606070,Skede                     
       8,0606100,Ökna                      
       5,0606110,Skirö                     
       8,0606120,Nye                       
       7,0606130,Näshult                   
       6,0606140,Stenberga                 
       6,0606150,Korsberga                 
       2,0606160,Lemnhult                  
       3,0606170,Bäckseda                  
       1,0606200,Näsby                     
       8,0606210,Myresjö                   
       9,0606220,Lannaskede                
      21,0607010,Norra Sandsjö             
      50,0607020,Vallsjö                   
       6,0607040,Bäckaby                   
       7,0607050,Ramkvilla                 
       2,0607060,Södra Solberga            
       3,0607070,Hultsjö                   
      10,0607090,Bodafors                  
       2,0607100,Skepperstad               
       6,0607120,Hjälmseryd                
      18,0607130,Stockaryd                 
      21,0607140,Vrigstad                  
       3,0607150,Nydala                    
       9,0607160,Svennarum                 
      15,0607170,Malmbäck                  
       5,0607200,Ödestuga                  
       1,0607210,Almesåkra                 
       5,0607220,Bringetofta               
       1,0607230,Norra Ljunga              
       2,0607240,Hyllestofta               
       2,0608010,Tofteryd                  
      17,0608015,Skillingaryd              
       7,0608020,Byarum                    
      18,0608025,Vaggeryd                  
       5,0608030,Fryele                    
       1,0608040,Hagshult                  
      16,0608050,Rydaholm                  
      14,0608060,Gällaryd                  
      16,0608100,Våxtorp                   
       2,0608110,Tånnö                     
       4,0608120,Kärda                     
       6,0608130,Hånger                    
       2,0608140,Åker                      
       8,0608150,Kävsjö                    
      12,0609010,Södra Unnaryd             
       2,0609020,Jälluntofta               
       3,0609030,Femsjö                    
      15,0609040,Långaryd                  
      23,0609050,Färgaryd                  
       1,0609060,Södra Hästra              
       4,0609070,Gryteryd                  
       8,0609100,Burseryd                  
       3,0609110,Sandvik                   
       2,0609120,Bosebo                    
      26,0609130,Villstad                  
      26,0609140,Båraryd                   
       3,0609150,Våthult                   
       8,0609160,Reftele                   
      13,0609170,Anderstorp                
       4,0609200,Kulltorp                  
      25,0609210,Gnosjö                    
       7,0609220,Forsheda                  
       8,0609230,Bredaryd                  
       3,0609240,Torskinge                 
       4,0609250,Ås                        
       1,0609260,Källerstad                
      11,0609270,Bolmsö                    
       5,0609300,Dannäs                    
       4,0609310,Tannåker                  
     126,0610080,Jönköping                 
      56,0611080,Eksjö                     
      27,0612080,Huskvarna                 
      19,0613080,Gränna                    
      69,0614080,Tranås                    
      68,0615080,Nässjö                    
